id;ano;m̻s;periodo;total de multas;total de corridas;per. de corridas c. multa;per. de corridas sem multa;valor total de multas;valor total de corridas;per. de glosas ou multas;per. sem glosas ou multas
1,0;2017,0;1,0;2017/10/01 00:00:00.000;754,0;11081,0;0,0680444003;0,9319555997;1774,58;260445,5500000008;0,0068136315;0,9931863685
2,0;2017,0;2,0;2017/11/01 00:00:00.000;1024,0;12989,0;0,0788359381;0,9211640619;2435,46;314132,3900000017;0,0077529732;0,9922470268
3,0;2017,0;3,0;2017/12/01 00:00:00.000;839,0;10554,0;0,0794959257;0,9205040743;2363,48;274038,7000000032;0,0086246213;0,9913753787
4,0;2018,0;4,0;2018/01/01 00:00:00.000;561,0;8805,0;0,063713799;0,936286201;1605,2;229964,2500000012;0,0069802154;0,9930197846
5,0;2018,0;5,0;2018/02/01 00:00:00.000;617,0;11232,0;0,0549323362;0,9450676638;1524,82;229964,2500000012;0,0066306828;0,9933693172
6,0;2018,0;6,0;2018/03/01 00:00:00.000;746,0;17462,0;0,0427213378;0,9572786622;1731,54;453230,4500000137;0,0038204406;0,9961795594
7,0;2018,0;7,0;2018/04/01 00:00:00.000;1132,0;20410,0;0,0554630083;0,9445369917;2752,3;525621,8900000118;0,0052362736;0,9947637264
8,0;2018,0;8,0;2018/05/01 00:00:00.000;1106,0;22377,0;0,0494257497;0,9505742503;2806,17;606979,420000019;0,0046231716;0,9953768284
9,0;2018,0;9,0;2018/06/01 00:00:00.000;619,0;21426,0;0,0288901335;0,9711098665;1591,33;564920,7100000213;0,0028169086;0,9971830914
10,0;2018,0;10,0;2018/07/01 00:00:00.000;427,0;17445,0;0,0244769275;0,9755230725;1310,83;493913,9700000152;0,0026539642;0,9973460358
11,0;2018,0;11,0;2018/08/01 00:00:00.000;676,0;23132,0;0,0292235864;0,9707764136;1786,09;616001,6900000161;0,0028994888;0,9971005112
12,0;2018,0;12,0;2018/09/01 00:00:00.000;601,0;21426,0;0,0280500327;0,9719499673;1594,59;549308,7300000149;0,0029029031;0,9970970969
13,0;2018,0;13,0;2018/10/01 00:00:00.000;564,0;17933,0;0,0314503987;0,9685496013;1737,31;500498,640000016;0,0034711583;0,9965288417
